Paper,FirstAuthor,Treatment,Group,Trttype,pcbmatch,Age,VaccStatus,Variant,Risk,treat.lag,MaxDaysSincePos,MaxDaysSinceSymp,Day,VLchange,ValueUnits,RangeSize,RangeType,n.virol,DaysRelTo,numevents,numatrisk,VLbase,AveBaseVL,treatment.type,agent,robhigh
AV03,Jayk Bernal et al. (2021),Molnupiravir,800mg Molnupiravir,AV,Yes,Adult,Unvaccinated,Delta,High,4,,5,5,-2.09,mean change in VL,0.067,SEM GROUP,549,Treatment Start,48,709,6.81,6.81,Small mol,Molnupiravir,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,800mg Molnupiravir,AV,Yes,Adult,Unvaccinated,Delta,High,4,,5,10,-3.18,mean change in VL,0.073,SEM GROUP,549,Treatment Start,48,709,6.81,6.81,Small mol,Molnupiravir,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,4,,5,1,0,mean change in VL,,,544,Treatment Start,68,699,6.81,6.81,Small mol,Placebo,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,4,,5,3,-0.84,mean change in VL,0.056,SEM GROUP,544,Treatment Start,68,699,6.81,6.81,Small mol,Placebo,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,4,,5,5,-1.79,mean change in VL,0.067,SEM GROUP,544,Treatment Start,68,699,6.81,6.81,Small mol,Placebo,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,4,,5,10,-2.99,mean change in VL,0.075,SEM GROUP,544,Treatment Start,68,699,6.81,6.81,Small mol,Placebo,0
MAB02,Norton et al. (2022),Regen-Cov,Regen-Cov comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,3,7,1,0,mean change in VL,,,287,Treatment Start,3,434,5.92,6.04,mAb,Regen-Cov,0
MAB02,Norton et al. (2022),Regen-Cov,Regen-Cov comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,3,7,3,-1.26,mean change in VL,,,287,Treatment Start,3,434,5.92,6.04,mAb,Regen-Cov,0
MAB02,Norton et al. (2022),Regen-Cov,Regen-Cov comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,3,7,5,-2.39,mean change in VL,,,287,Treatment Start,3,434,5.92,6.04,mAb,Regen-Cov,0
MAB02,Norton et al. (2022),Regen-Cov,Regen-Cov comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,3,7,7,-3.02,mean change in VL,,,287,Treatment Start,3,434,5.92,6.04,mAb,Regen-Cov,0
MAB02,Norton et al. (2022),Regen-Cov,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,3,7,1,0,mean change in VL,,,150,Treatment Start,5,231,6.16,,mAb,Placebo,0
MAB02,Norton et al. (2022),Regen-Cov,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,3,7,3,-0.85,mean change in VL,,,150,Treatment Start,5,231,6.16,,mAb,Placebo,0
MAB02,Norton et al. (2022),Regen-Cov,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,3,7,5,-1.8,mean change in VL,,,150,Treatment Start,5,231,6.16,,mAb,Placebo,0
MAB02,Norton et al. (2022),Regen-Cov,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,3,7,7,-2.7,mean change in VL,,,150,Treatment Start,5,231,6.16,,mAb,Placebo,0
MAB04,Montgomery et al. (2022),Tixagevimab + cilgavimab,Placebo,Placebo,,Adult,Unvaccinated,Alpha,High,5,3,7,1,0,LS mean change in VL,,,165,Treatment Start,41,444,5.74,5.7,mAb,Placebo,0
MAB04,Montgomery et al. (2022),Tixagevimab + cilgavimab,Placebo,Placebo,,Adult,Unvaccinated,Alpha,High,5,3,7,3,-0.57,LS mean change in VL,0.26,95CI GROUP,165,Treatment Start,41,444,5.74,5.7,mAb,Placebo,0
MAB04,Montgomery et al. (2022),Tixagevimab + cilgavimab,Placebo,Placebo,,Adult,Unvaccinated,Alpha,High,5,3,7,6,-1.46,LS mean change in VL,0.19,95CI GROUP,165,Treatment Start,41,444,5.74,5.7,mAb,Placebo,0
MAB04,Montgomery et al. (2022),Tixagevimab + cilgavimab,TIX+CIL,MAB,Yes,Adult,Unvaccinated,Alpha,High,4.9,3,7,1,0,LS mean change in VL,,,168,Treatment Start,24,446,5.65,,mAb,TIX + CIL,0
MAB04,Montgomery et al. (2022),Tixagevimab + cilgavimab,TIX+CIL,MAB,Yes,Adult,Unvaccinated,Alpha,High,4.9,3,7,3,-0.85,LS mean change in VL,0.26,95CI GROUP,168,Treatment Start,24,446,5.65,,mAb,TIX + CIL,0
MAB04,Montgomery et al. (2022),Tixagevimab + cilgavimab,TIX+CIL,MAB,Yes,Adult,Unvaccinated,Alpha,High,4.9,3,7,6,-1.94,LS mean change in VL,0.18,95CI GROUP,168,Treatment Start,24,446,5.65,,mAb,TIX + CIL,0
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,BAM Comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4.33,3,,1,0,mean change in VL,,,287,Treatment Start,5,309,6.33,6.28,mAb,BAM,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,BAM Comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4.33,3,,3,-1.46,mean change in VL,0.25,95CI DIFF,287,Treatment Start,5,309,6.33,6.28,mAb,BAM,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,BAM Comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4.33,3,,7,-2.96,mean change in VL,0.26,95CI DIFF,287,Treatment Start,5,309,6.33,6.28,mAb,BAM,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,BAM Comb dose,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4.33,3,,11,-3.76,mean change in VL,0.25,95CI DIFF,287,Treatment Start,5,309,6.33,6.28,mAb,BAM,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4,3,,1,0,mean change in VL,,,97,Treatment Start,1,112,6.53,6.38,mAb,BAM + ETE,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4,3,,3,-1.69,mean change in VL,0.44,95CI DIFF,97,Treatment Start,1,112,6.53,6.38,mAb,BAM + ETE,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4,3,,7,-3.76,mean change in VL,0.45,95CI DIFF,97,Treatment Start,1,112,6.53,6.38,mAb,BAM + ETE,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,Adult,Unvaccinated,WT,Mixed,4,3,,11,-4.37,mean change in VL,0.43,95CI DIFF,97,Treatment Start,1,112,6.53,6.38,mAb,BAM + ETE,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,4,3,,1,0,mean change in VL,,,141,Treatment Start,9,156,6.23,,mAb,Placebo,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,4,3,,3,-1.14,mean change in VL,,,141,Treatment Start,9,156,6.23,,mAb,Placebo,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,4,3,,7,-2.64,mean change in VL,,,141,Treatment Start,9,156,6.23,,mAb,Placebo,1
MAB06,Gottlieb et al. (2021a),BAM or BAM+ETE,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,4,3,,11,-3.8,mean change in VL,,,141,Treatment Start,9,156,6.23,,mAb,Placebo,1
MAB07,Dougan et al. (2021),BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,1,0,mean change in VL,,,518,Treatment Start,11,518,6.33,6.33,mAb,BAM + ETE,1
MAB07,Dougan et al. (2021),BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,3,-1.45,mean change in VL,0.15,95CI GROUP,518,Treatment Start,11,518,6.33,6.33,mAb,BAM + ETE,1
MAB07,Dougan et al. (2021),BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,5,-2.6,mean change in VL,0.165,95CI GROUP,518,Treatment Start,11,518,6.33,6.33,mAb,BAM + ETE,1
MAB07,Dougan et al. (2021),BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,7,-3.66,mean change in VL,0.17,95CI GROUP,518,Treatment Start,11,518,6.33,6.33,mAb,BAM + ETE,1
MAB07,Dougan et al. (2021),BAM+ETE,2800mg BAM + 2800mg ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,11,-4.31,mean change in VL,0.175,95CI GROUP,518,Treatment Start,11,518,6.33,6.33,mAb,BAM + ETE,1
MAB07,Dougan et al. (2021),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,4,3,,1,0,mean change in VL,,,517,Treatment Start,36,517,6.33,,mAb,Placebo,1
MAB07,Dougan et al. (2021),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,4,3,,3,-0.73,mean change in VL,0.16,95CI GROUP,517,Treatment Start,36,517,6.33,,mAb,Placebo,1
MAB07,Dougan et al. (2021),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,4,3,,5,-1.79,mean change in VL,0.175,95CI GROUP,517,Treatment Start,36,517,6.33,,mAb,Placebo,1
MAB07,Dougan et al. (2021),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,4,3,,7,-2.46,mean change in VL,0.18,95CI GROUP,517,Treatment Start,36,517,6.33,,mAb,Placebo,1
MAB07,Dougan et al. (2021),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,4,3,,11,-3.74,mean change in VL,0.185,95CI GROUP,517,Treatment Start,36,517,6.33,,mAb,Placebo,1
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,1,0,LS mean change in VL,,,125,Treatment Start,2,125,6.4,6.2,mAb,BEB,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,3,-1.43,LS mean change in VL,0.21,SEM GROUP,125,Treatment Start,2,125,6.4,6.2,mAb,BEB,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,5,-3.03,LS mean change in VL,0.19,SEM GROUP,125,Treatment Start,2,125,6.4,6.2,mAb,BEB,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,7,-3.77,LS mean change in VL,0.2,SEM GROUP,125,Treatment Start,2,125,6.4,6.2,mAb,BEB,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB+BAM+ETE,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,1,0,LS mean change in VL,,,127,Treatment Start,3,127,6,6,mAb,BEB + BAM + ETE,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB+BAM+ETE,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,3,-1.38,LS mean change in VL,0.2,SEM GROUP,127,Treatment Start,3,127,6,6,mAb,BEB + BAM + ETE,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB+BAM+ETE,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,5,-2.81,LS mean change in VL,0.19,SEM GROUP,127,Treatment Start,3,127,6,6,mAb,BEB + BAM + ETE,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),BEB+BAM+ETE,MAB,Yes,Adult,Unvaccinated,Delta,Low,3,3,,7,-4,LS mean change in VL,0.2,SEM GROUP,127,Treatment Start,3,127,6,6,mAb,BEB + BAM + ETE,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),Placebo,Placebo,,Adult,Unvaccinated,Delta,Low,3.5,3,,1,0,LS mean change in VL,,,128,Treatment Start,2,128,6,,mAb,Placebo,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),Placebo,Placebo,,Adult,Unvaccinated,Delta,Low,3.5,3,,3,-1.21,LS mean change in VL,0.2,SEM GROUP,128,Treatment Start,2,128,6,,mAb,Placebo,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),Placebo,Placebo,,Adult,Unvaccinated,Delta,Low,3.5,3,,5,-2.13,LS mean change in VL,0.19,SEM GROUP,128,Treatment Start,2,128,6,,mAb,Placebo,0
MAB08,Dougan et al. (2022a),BEB (Mono & Combo),Placebo,Placebo,,Adult,Unvaccinated,Delta,Low,3.5,3,,7,-3.62,LS mean change in VL,0.2,SEM GROUP,128,Treatment Start,2,128,6,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,1,0,mean change in VL,,,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,2,-0.3,mean change in VL,0.11,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,3,-0.87,mean change in VL,0.13,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,4,-1.51,mean change in VL,0.15,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,5,-1.69,mean change in VL,0.17,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,6,-2.04,mean change in VL,0.17,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,7,-2.28,mean change in VL,0.17,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,3,,7,10,-3.03,mean change in VL,0.16,SEM GROUP,104,Treatment Start,9,104,,,mAb,Placebo,0
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,1,0,mean change in VL,,,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,2,-0.61,mean change in VL,0.06,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,3,-1.35,mean change in VL,0.08,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,4,-2.13,mean change in VL,0.09,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,5,-2.49,mean change in VL,0.13,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,6,-2.88,mean change in VL,0.11,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,7,-3.17,mean change in VL,0.1,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB12,Streinu-Cercel et al. (2022),Regdanvimab,Regdanvimab all doses,MAB,Yes,Adult,Unvaccinated,WT,Mixed,3,,7,10,-3.4,mean change in VL,0.12,SEM GROUP,203,Treatment Start,9,203,,,mAb,Regdanvimab,1
MAB13,Dougan et al. (2022b),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,3,3,,1,0,LS mean change in VL,,,258,Treatment Start,15,258,6.11,,mAb,Placebo,1
MAB13,Dougan et al. (2022b),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,3,3,,3,-0.86,LS mean change in VL,0.07,SEM GROUP,258,Treatment Start,15,258,6.11,,mAb,Placebo,1
MAB13,Dougan et al. (2022b),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,3,3,,5,-1.8,LS mean change in VL,0.075,SEM GROUP,258,Treatment Start,15,258,6.11,,mAb,Placebo,1
MAB13,Dougan et al. (2022b),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,3,3,,7,-2.54,LS mean change in VL,0.08,SEM GROUP,258,Treatment Start,15,258,6.11,,mAb,Placebo,1
MAB13,Dougan et al. (2022b),BAM+ETE,Placebo,Placebo,,12+,Unvaccinated,WT,High,3,3,,11,-3.87,LS mean change in VL,0.08,SEM GROUP,258,Treatment Start,15,258,6.11,,mAb,Placebo,1
MAB13,Dougan et al. (2022b),BAM+ETE,BAM+ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,1,0,LS mean change in VL,,,511,Treatment Start,4,511,6.26,6.19,mAb,BAM + ETE,1
MAB13,Dougan et al. (2022b),BAM+ETE,BAM+ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,3,-1.45,LS mean change in VL,0.09,SEM GROUP,511,Treatment Start,4,511,6.26,6.19,mAb,BAM + ETE,1
MAB13,Dougan et al. (2022b),BAM+ETE,BAM+ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,5,-2.7,LS mean change in VL,0.09,SEM GROUP,511,Treatment Start,4,511,6.26,6.19,mAb,BAM + ETE,1
MAB13,Dougan et al. (2022b),BAM+ETE,BAM+ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,7,-3.63,LS mean change in VL,0.095,SEM GROUP,511,Treatment Start,4,511,6.26,6.19,mAb,BAM + ETE,1
MAB13,Dougan et al. (2022b),BAM+ETE,BAM+ETE,MAB,Yes,12+,Unvaccinated,WT,High,4,3,,11,-4.76,LS mean change in VL,0.1,SEM GROUP,511,Treatment Start,4,511,6.26,6.19,mAb,BAM + ETE,1
AV05,Caraco et al. (2022),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,WT,High,4.5,,7,1,0,mean change in VL,,,60,Treatment Start,4,74,,,Small mol,Placebo,1
AV05,Caraco et al. (2022),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,WT,High,4.5,,7,3,-1,mean change in VL,,,60,Treatment Start,4,74,,,Small mol,Placebo,1
AV05,Caraco et al. (2022),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,WT,High,4.5,,7,5,-1.7,mean change in VL,,,60,Treatment Start,4,74,,,Small mol,Placebo,1
AV05,Caraco et al. (2022),Molnupiravir,Placebo,Placebo,,Adult,Unvaccinated,WT,High,4.5,,7,10,-2.51,mean change in VL,,,60,Treatment Start,4,74,,,Small mol,Placebo,1
AV05,Caraco et al. (2022),Molnupiravir,Molnupiravir comb dose,AV,Yes,Adult,Unvaccinated,WT,High,4.6,,7,1,0,mean change in VL,,,185,Treatment Start,7,225,,,Small mol,Molnupiravir,1
AV05,Caraco et al. (2022),Molnupiravir,Molnupiravir comb dose,AV,Yes,Adult,Unvaccinated,WT,High,4.6,,7,3,-1,mean change in VL,,,185,Treatment Start,7,225,,,Small mol,Molnupiravir,1
AV05,Caraco et al. (2022),Molnupiravir,Molnupiravir comb dose,AV,Yes,Adult,Unvaccinated,WT,High,4.6,,7,5,-1.94,mean change in VL,,,185,Treatment Start,7,225,,,Small mol,Molnupiravir,1
AV05,Caraco et al. (2022),Molnupiravir,Molnupiravir comb dose,AV,Yes,Adult,Unvaccinated,WT,High,4.6,,7,10,-2.76,mean change in VL,,,185,Treatment Start,7,225,,,Small mol,Molnupiravir,1
AV11,Gottlieb et al. (2021b),Remdesivir,Placebo,Placebo,,12+,Unvaccinated,WT,High,5,4,7,1,0.00,mean change in VL,,,213,Treatment Start,15,283,6.28,,Small mol,Placebo,0
AV11,Gottlieb et al. (2021b),Remdesivir,Placebo,Placebo,,12+,Unvaccinated,WT,High,5,4,7,2,-0.49,mean change in VL,0.131,95CI GROUP,213,Treatment Start,15,283,6.28,,Small mol,Placebo,0
AV11,Gottlieb et al. (2021b),Remdesivir,Placebo,Placebo,,12+,Unvaccinated,WT,High,5,4,7,3,-0.88,mean change in VL,0.158,95CI GROUP,213,Treatment Start,15,283,6.28,,Small mol,Placebo,0
AV11,Gottlieb et al. (2021b),Remdesivir,Placebo,Placebo,,12+,Unvaccinated,WT,High,5,4,7,7,-2.30,mean change in VL,0.225,95CI GROUP,213,Treatment Start,15,283,6.28,,Small mol,Placebo,0
AV11,Gottlieb et al. (2021b),Remdesivir,Remdesivir,AV,Yes,12+,Unvaccinated,WT,High,5,4,7,1,0.00,mean change in VL,,,215,Treatment Start,2,279,6.31,6.3,Small mol,Remdesivir,0
AV11,Gottlieb et al. (2021b),Remdesivir,Remdesivir,AV,Yes,12+,Unvaccinated,WT,High,5,4,7,2,-0.53,mean change in VL,0.140,95CI GROUP,215,Treatment Start,2,279,6.31,6.3,Small mol,Remdesivir,0
AV11,Gottlieb et al. (2021b),Remdesivir,Remdesivir,AV,Yes,12+,Unvaccinated,WT,High,5,4,7,3,-1.03,mean change in VL,0.153,95CI GROUP,215,Treatment Start,2,279,6.31,6.3,Small mol,Remdesivir,0
AV11,Gottlieb et al. (2021b),Remdesivir,Remdesivir,AV,Yes,12+,Unvaccinated,WT,High,5,4,7,7,-2.26,mean change in VL,0.225,95CI GROUP,215,Treatment Start,2,279,6.31,6.3,Small mol,Remdesivir,0
MAB14,Chew et al. (2022),Bamlinivimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,5.75,10,,1,0,change in median VL,,,157,Treatment Start,8,157,5.49,,mAb,Placebo,0
MAB14,Chew et al. (2022),Bamlinivimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,5.75,10,,4,-1.74,change in median VL,,,157,Treatment Start,8,157,5.49,,mAb,Placebo,0
MAB14,Chew et al. (2022),Bamlinivimab,Placebo,Placebo,,Adult,Unvaccinated,WT,Mixed,5.75,10,,8,-3.33,change in median VL,,,157,Treatment Start,8,157,5.49,,mAb,Placebo,0
MAB14,Chew et al. (2022),Bamlinivimab,Bamlinivimab Combined,MAB,Yes,Adult,Unvaccinated,WT,Mixed,6,10,,1,0,change in median VL,,,157,Treatment Start,6,159,5.41,5.45,mAb,BAM,0
MAB14,Chew et al. (2022),Bamlinivimab,Bamlinivimab Combined,MAB,Yes,Adult,Unvaccinated,WT,Mixed,6,10,,4,-2.72,change in median VL,,,157,Treatment Start,6,159,5.41,5.45,mAb,BAM,0
MAB14,Chew et al. (2022),Bamlinivimab,Bamlinivimab Combined,MAB,Yes,Adult,Unvaccinated,WT,Mixed,6,10,,8,-3.43,change in median VL,,,157,Treatment Start,6,159,5.41,5.45,mAb,BAM,0
OTH05,Rossignol et al. (2022),Nitazoxanide,Placebo,Placebo,,12+,Unvaccinated,WT,Mixed,1.94,,3,1,0,mean change in VL,,,195,Treatment Start,5,195,6.34,,Small mol,Placebo,1
OTH05,Rossignol et al. (2022),Nitazoxanide,Placebo,Placebo,,12+,Unvaccinated,WT,Mixed,1.94,,3,4,-1.02,mean change in VL,0.13,SEM GROUP,195,Treatment Start,5,195,6.34,,Small mol,Placebo,1
OTH05,Rossignol et al. (2022),Nitazoxanide,Placebo,Placebo,,12+,Unvaccinated,WT,Mixed,1.94,,3,10,-2.61,mean change in VL,0.12,SEM GROUP,195,Treatment Start,5,195,6.34,,Small mol,Placebo,1
OTH05,Rossignol et al. (2022),Nitazoxanide,Nitazoxanide,OTH,Yes,12+,Unvaccinated,WT,Mixed,1.83,,3,1,0,mean change in VL,,,184,Treatment Start,1,184,6.38,6.36,Small mol,Nitazoxanide,1
